,time,exo_LF_1,exo_NLF_1,Unnamed: 0,exo_tas_1,exo_SL,exo_cyclpers_1,exo_D_N_1_1,exo_D_N_2_1,exo_D_N_3_1,exo_DH_1,exo_D_1_1
1,2,0.0,0.0,2015,-0.4110000000000013,0.0,-8.23559477867554,-0.022070700000000068,-0.00978180000000003,-0.0014385000000000044,-0.004117797389337771,-0.0021184982320706543
2,3,0.013280752331683132,0.0021978190875251435,2016,-0.1070000000000277,0.0108046954057197,-34.374180324570084,-0.0057459000000014875,-0.002546600000000659,-0.0003745000000000969,-0.017187090162285045,0.00037053324087030616
3,4,0.026327978300265897,0.004431387531093733,2017,0.4850000000000136,0.0216093908114395,-35.33296089150981,0.026044500000000727,0.011543000000000322,0.0016975000000000473,-0.017666480445754907,0.005217594530282409
4,5,0.03903069808260806,0.006562798538899184,2018,-0.396000000000015,0.0324140862171593,-25.379771121531675,-0.021265200000000806,-0.009424800000000356,-0.0013860000000000523,-0.01268988556076584,-0.00199568417912959
5,6,0.0512563421847414,0.00843168450995524,2019,-0.1960000000000263,0.043218781622879,-45.0,-0.010525200000001412,-0.0046648000000006256,-0.0006860000000000919,-0.0225,-0.00035816347324732923
6,7,0.06291613548434949,0.009920612683658181,2020,0.0049999999999954,0.0540234770285988,-37.00092550461317,0.00026849999999975293,0.0001189999999998905,1.7499999999983898e-05,-0.018500462752306587,0.004551536006679713
7,8,0.07395693327066599,0.010977036444540289,2021,0.2180000000000177,0.0588551215667714,-32.83298971434128,0.01170660000000095,0.005188400000000421,0.0007630000000000619,-0.01641649485717064,0.006295495558444602
8,9,0.08243615416481553,0.00977913014813625,2022,0.2459999999999809,0.063686766104944,71.73413171683434,0.013210199999998973,0.005854799999999545,0.0008609999999999331,0.035867065858417174,0.00652474845726783
9,10,0.09074658330442098,0.008871350971416447,2023,0.1560000000000059,0.0685184106431166,-21.349255762231717,0.008377200000000317,0.0037128000000001406,0.0005460000000000206,-0.01067462788111586,0.0057878641396209764
10,11,0.09885301774282151,0.008371486491182356,2024,-0.4220000000000254,0.0733500551812892,-14.115367292292667,-0.022661400000001365,-0.010043600000000603,-0.0014770000000000887,-0.007057683646146335,0.0010554292996207198
11,12,0.10672063879843297,0.008399285835817949,2025,-0.0590000000000259,0.0781816997194619,4.17792540952852,-0.0031683000000013906,-0.0014042000000006162,-0.00020650000000009062,0.00208896270476426,0.0040275293807971865
12,13,0.11212456551862093,0.006909857146986997,2026,-0.0590000000000259,0.0830133442576345,-26.40061001015213,-0.0031683000000013906,-0.0014042000000006162,-0.00020650000000009062,-0.013200305005076065,0.0040275293807971865
13,14,0.11720618145338957,0.00632137699902291,2027,0.1779999999999972,0.0878449887958071,5.0253284226759405,0.009558599999999848,0.004236399999999933,0.0006229999999999901,0.0025126642113379705,0.005967991417267964
14,15,0.12189565355883136,0.0068659720164925275,2028,0.0419999999999731,0.0926766333339797,-0.0836814433923081,0.0022553999999985553,0.0009995999999993597,0.00014699999999990583,-4.184072169615405e-05,0.004854477337267766
15,16,0.12612295755810177,0.008775408434205545,2029,0.2969999999999686,0.0975082778721523,-35.36329223864924,0.015948899999998316,0.007068599999999253,0.0010394999999998901,-0.01768164611932462,0.006942316237267729
16,17,0.1298175348640802,0.012278362380972574,2030,0.6730000000000018,0.1023399224103249,31.941481186312643,0.0361401000000001,0.016017400000000043,0.002355500000000006,0.015970740593156323,0.010878106031198001
17,18,0.13113755061452181,0.015745191472808173,2031,0.4169999999999731,0.1089124080752347,-2.9144831921789702,0.022392899999998557,0.009924599999999359,0.0014594999999999058,-0.0014572415960894852,0.008782079527668353
18,19,0.131909735843049,0.020882947346198666,2032,-0.211999999999989,0.1154848937401446,-34.36002412739259,-0.01138439999999941,-0.005045599999999738,-0.0007419999999999614,-0.017180012063696296,0.0036320769076686635
19,20,0.1321787824383387,0.027533148371098548,2033,0.2559999999999718,0.1220573794050544,0.0096477363470484,0.013747199999998485,0.0060927999999993284,0.0008959999999999012,4.8238681735242e-06,0.0074638753594330485
20,21,0.1319878074348635,0.035536086997498106,2034,0.0720000000000027,0.1286298650699642,13.738107081531432,0.0038664000000001447,0.0017136000000000642,0.00025200000000000943,0.006869053540765716,0.005957356310021537
21,22,0.1313786181903378,0.04473281046467248,2035,-0.1279999999999859,0.135202350734874,46.87047047199936,-0.0068735999999992425,-0.0030463999999996642,-0.0004479999999999506,0.02343523523599968,0.004319835604139277
22,23,0.129295100277389,0.05391862034648165,2036,0.4379999999999882,0.1417748363997839,-20.63092703271042,0.023520599999999364,0.010424399999999718,0.0015329999999999584,-0.01031546351635521,0.008954019201786123
23,24,0.1268029764434564,0.06420734984475951,2037,0.4970000000000141,0.1483473220646937,10.160801077003896,0.026688900000000754,0.011828600000000335,0.0017395000000000492,0.005080400538501948,0.00943708781002163
24,25,0.12386679270078638,0.07565810030739506,2038,0.6270000000000095,0.1549198077296035,-36.511501586135125,0.03366990000000051,0.014922600000000227,0.0021945000000000332,-0.018255750793067564,0.012281788950801183
25,26,0.12044924255029787,0.08832520645955144,2039,1.214999999999975,0.1614922933945133,-42.06843681036048,0.06524549999999865,0.0289169999999994,0.004252499999999912,-0.02103421840518024,0.01709609982609502
26,27,0.11651084387902877,0.10225792752736718,2040,0.3729999999999904,0.1680647790594232,-33.519342403972935,0.02003009999999948,0.008877399999999772,0.0013054999999999662,-0.01675967120198647,0.010202137654330439
27,28,0.11127001432593975,0.11664049072224403,2041,0.7919999999999732,0.177318905605672,6.037514950598798,0.04253039999999856,0.01884959999999936,0.0027719999999999056,0.003018757475299399,0.013632743533153826
28,29,0.1056163555127112,0.13185358353107324,2042,1.009999999999991,0.1865730321519209,-9.9320054209309,0.05423699999999951,0.024037999999999782,0.003534999999999968,-0.00496600271046545,0.015417641102565736
29,30,0.09970146599982943,0.14744061933475727,2043,1.2129999999999654,0.1958271586981697,-16.37062052354876,0.06513809999999814,0.028869399999999174,0.004245499999999879,-0.00818531026177438,0.017079724619036115
30,31,0.09368043080394983,0.16297082017044273,2044,1.4569999999999936,0.2050812852444186,38.22404746199157,0.07824089999999966,0.03467659999999985,0.005099499999999977,0.019112023730995784,0.020732804958035686
31,32,0.08771266634997321,0.17803767886297273,2045,1.6170000000000186,0.2143354117906674,-6.624796556753481,0.086832900000001,0.03848460000000044,0.005659500000000065,-0.0033123982783767403,0.02204282152274177
32,33,0.08093133793235374,0.19143937699994495,2046,0.9699999999999704,0.2235895383369163,83.370422413612,0.05208899999999841,0.023085999999999295,0.0033949999999998964,0.04168521120680601,0.016745442039211966
33,34,0.07416075593615634,0.20452590987982866,2047,0.7660000000000196,0.2328436648831651,7.812946579950129,0.04113420000000105,0.018230800000000463,0.0026810000000000683,0.0039064732899750645,0.015075170919212368
34,35,0.06718947816376009,0.21780969754121138,2048,1.6739999999999782,0.2420977914294139,1.6680918629390007,0.08989379999999883,0.03984119999999948,0.005858999999999923,0.0008340459314695003,0.02250951492391791
35,36,0.059798590173658184,0.23177965107888454,2049,0.9769999999999754,0.2513519179756628,-45.0,0.052464899999998676,0.023252599999999415,0.0034194999999999135,-0.0225,0.019161064626126684
36,37,0.05176021280578702,0.2469011991270258,2050,0.6580000000000155,0.2606060445219116,-6.876003137407871,0.035334600000000826,0.015660400000000366,0.0023030000000000537,-0.0034380015687039355,0.01654921910024466
37,38,0.04166824165315042,0.2622588206008869,2051,1.3249999999999886,0.2729640008135548,-45.0,0.07115249999999938,0.03153499999999973,0.004637499999999959,-0.0225,0.022010350654362087
38,39,0.03079090677343821,0.27885278909789735,2052,1.846000000000004,0.285321957105198,77.08967791480534,0.09913020000000021,0.04393480000000009,0.006461000000000014,0.03854483895740267,0.026276092093185745
39,40,0.019235034751083013,0.2963439571182329,2053,1.5539999999999736,0.2976799133968411,-39.31657176367506,0.08344979999999858,0.03698519999999937,0.0054389999999999075,-0.01965828588183753,0.023885311862597257
40,41,0.007111933302134332,0.31441049127939547,2054,1.3070000000000164,0.3100378696884843,16.178907002445406,0.07018590000000087,0.031106600000000387,0.004574500000000057,0.008089453501222704,0.02311386238810932
41,42,-0.005461311190592788,0.332748654108006,2055,1.629000000000019,0.3223958259801275,3.408306999513087,0.08747730000000102,0.03877020000000045,0.005701500000000066,0.0017041534997565436,0.02575027072457993
42,43,-0.019566610131938056,0.349982602197354,2056,1.8149999999999975,0.3347537822717706,15.246048691425806,0.09746549999999986,0.04319699999999994,0.006352499999999991,0.0076230243457129036,0.02727316498105034
43,44,-0.03411725273737609,0.3673737641031809,2057,1.495999999999981,0.3471117385634138,-39.17299996043597,0.08033519999999897,0.03560479999999954,0.0052359999999999325,-0.019586499980217987,0.024661319455167856
44,45,-0.049231868790057476,0.38509087900528005,2058,2.144000000000005,0.359469694855057,-36.15824397985219,0.11513280000000027,0.05102720000000011,0.007504000000000017,-0.018079121989926096,0.03157829534911666
45,46,-0.06503724908547515,0.40329132079367547,2059,1.754000000000019,0.3718276511467001,-27.87003046024325,0.09418980000000102,0.041745200000000454,0.006139000000000066,-0.013935015230121625,0.028385129972646184
46,47,-0.08166959626441628,0.42212117250105097,2060,1.7939999999999827,0.3841856074383433,-34.07320305969659,0.09633779999999907,0.04269719999999959,0.006278999999999939,-0.017036601529848296,0.028712634113822355
47,48,-0.1002709384210343,0.4404452892162394,2061,1.766999999999996,0.400455367613565,-28.81854818776712,0.09488789999999978,0.0420545999999999,0.006184499999999985,-0.014409274093883562,0.03128605299758615
48,49,-0.11936405893365176,0.4586548335657423,2062,1.7060000000000173,0.4167251277887868,-28.504819658164703,0.09161220000000092,0.04060280000000041,0.00597100000000006,-0.014252409829082354,0.0307866091822922
49,50,-0.1384203264162034,0.4759302083140451,2063,2.11099999999999,0.4329948879640085,-29.47044546937556,0.11336069999999945,0.05024179999999976,0.0073884999999999645,-0.01473522273468778,0.034102588611703746
50,51,-0.15686532894000393,0.4915000927158393,2064,2.3600000000000136,0.4492646481392303,-45.0,0.12673200000000073,0.05616800000000032,0.008260000000000047,-0.0225,0.036141301890527465
51,52,-0.17407747028501852,0.5046281996907065,2065,2.079000000000008,0.465534408314452,-33.829494396691274,0.11164230000000043,0.04948020000000019,0.007276500000000028,-0.01691474719834564,0.035698852946869516
52,53,-0.19041768541944482,0.5140089179412555,2066,2.935999999999978,0.4818041684896738,-11.14619638447322,0.1576631999999988,0.06987679999999948,0.010275999999999922,-0.00557309819223661,0.04271562917157515
53,54,-0.2053069449371332,0.5210120160757441,2067,2.7180000000000177,0.4980739286648955,51.9212295026533,0.14595660000000094,0.06468840000000042,0.009513000000000061,0.02596061475132665,0.04093073160216371
54,55,-0.21921686681069552,0.5263944596699646,2068,2.2620000000000005,0.5143436888401173,1.6064308772788465,0.12146940000000002,0.053835600000000004,0.007917,0.0008032154386394233,0.042150737478291844
55,56,-0.23265422674327985,0.5308901780483088,2069,2.2819999999999823,0.530613449015339,-26.30644515071428,0.12254339999999904,0.05431159999999957,0.007986999999999937,-0.01315322257535714,0.04231448954887994
56,57,-0.24615946381424614,0.5352205835544175,2070,2.350999999999999,0.5468832091905607,-7.4102622084056335,0.12624869999999994,0.05595379999999998,0.008228499999999996,-0.003705131104202817,0.042879434192409485
57,58,-0.2607946987915626,0.5394098034227239,2071,3.320999999999969,0.5680404895321768,-44.9429815229358,0.17833769999999832,0.07903979999999926,0.01162349999999989,-0.0224714907614679,0.06172768237402298
58,59,-0.2761375090929441,0.5441764464441436,2072,2.6889999999999645,0.5891977698737928,-20.69677343197329,0.1443992999999981,0.06399819999999914,0.009411499999999875,-0.010348386715986646,0.056553116943434706
59,60,-0.292253427000412,0.5495548156636105,2073,2.8149999999999977,0.6103550502154089,9.34031216949888,0.15116549999999987,0.06699699999999995,0.009852499999999991,0.00467015608474944,0.05758475498814086
60,61,-0.3092137850410448,0.5555782588009839,2074,2.873999999999967,0.631512330557025,60.637301772732,0.15433379999999822,0.0684011999999992,0.010058999999999882,0.030318650886366,0.0580678235963759
61,62,-0.3270965512804458,0.5622790241552535,2075,2.4839999999999804,0.6526696108986412,-27.093312186690497,0.13339079999999895,0.05911919999999953,0.008693999999999931,-0.013546656093345249,0.05487465821990543
62,63,-0.34637857672153016,0.56920162495501,2076,3.430999999999983,0.6738268912402572,35.92049590486066,0.1842446999999991,0.0816577999999996,0.01200849999999994,0.01796024795243033,0.06262831876225838
63,64,-0.366488936290974,0.5765587903175748,2077,3.372000000000014,0.6949841715818733,-45.0,0.18107640000000075,0.08025360000000033,0.011802000000000049,-0.0225,0.06214525015402335
64,65,-0.38722779563738774,0.5840872939711126,2078,3.005999999999972,0.7161414519234893,8.452969677478322,0.1614221999999985,0.07154279999999932,0.0105209999999999,0.004226484838739161,0.0639274390816015
65,66,-0.4083761873572209,0.5915294484701481,2079,2.945999999999969,0.7372987322651054,-42.16834130427971,0.15820019999999832,0.07011479999999926,0.010310999999999891,-0.021084170652139855,0.06343618286983678
66,67,-0.4296932410654146,0.598632718941972,2080,3.656000000000006,0.7584560126067215,16.037546301055762,0.1963272000000003,0.08701280000000014,0.01279600000000002,0.008018773150527882,0.07559865181345683
67,68,-0.45135646287731657,0.6047972438148541,2081,4.673999999999978,0.7855183601579637,-29.62444707295117,0.2509937999999988,0.11124119999999947,0.016358999999999922,-0.014812223536475586,0.08393363220639778
68,69,-0.47292675023009334,0.6103903506731112,2082,3.02800000000002,0.812580707709206,-38.37781347058412,0.16260360000000107,0.07206640000000047,0.01059800000000007,-0.019188906735292062,0.07595919538183549
69,70,-0.4944012006688223,0.6154337946013206,2083,3.596000000000004,0.8396430552604481,-22.97803280489793,0.1931052000000002,0.08558480000000009,0.012586000000000014,-0.011489016402448964,0.08060975418654123
70,71,-0.5157785092005902,0.6199492411347611,2084,4.021000000000015,0.8667054028116904,-1.0423485309885834,0.2159277000000008,0.09569980000000035,0.014073500000000051,-0.0005211742654942917,0.08974226879928243
71,72,-0.5370590717708819,0.6239582993610022,2085,3.394999999999982,0.8937677503629325,-21.949368159045168,0.18231149999999902,0.08080099999999957,0.011882499999999935,-0.010974684079522585,0.08461682898987039
72,73,-0.5585768928670722,0.6271283165174362,2086,3.899999999999977,0.9208300979141748,62.21800130059832,0.20942999999999876,0.09281999999999944,0.013649999999999917,0.03110900065029916,0.09389445260713979
73,74,-0.5799328009285336,0.6297667149102519,2087,4.1370000000000005,0.9478924454654172,13.90622787949313,0.22215690000000002,0.09846060000000001,0.0144795,0.006953113939746566,0.09583491464361057
74,75,-0.6010447645301005,0.6318284825680491,2088,4.09699999999998,0.9749547930166592,22.55610791569515,0.22000889999999892,0.09750859999999952,0.014339499999999929,0.011278053957847575,0.10103179152599377
75,76,-0.6218199306810344,0.6332644052962366,2089,4.045999999999992,1.0020171405679017,-39.71371587441437,0.21727019999999958,0.0962947999999998,0.014160999999999972,-0.019856857937207185,0.10061422374599388
76,77,-0.6421540735541176,0.6340207984540651,2090,4.432999999999993,1.0290794881191436,-45.0,0.2380520999999996,0.10550539999999982,0.015515499999999974,-0.0225,0.10378282631187623
77,78,-0.662065620661831,0.6339359286654664,2091,3.8859999999999673,1.062146635469339,3.898007752303407,0.20867819999999823,0.09248679999999922,0.013600999999999884,0.0019490038761517036,0.0993042071812878
78,79,-0.6814052430925246,0.6331291392023766,2092,4.637999999999977,1.095213782819534,-12.81764782873227,0.24906059999999874,0.11038439999999944,0.016232999999999918,-0.006408823914366135,0.10546128503540551
79,80,-0.7001565195787434,0.6316169901761719,2093,4.026999999999987,1.1282809301697292,8.45618347757329,0.21624989999999927,0.09584259999999968,0.014094499999999953,0.004228091738786645,0.100458659278935
80,81,-0.7183047061456489,0.6294149364671187,2094,4.382000000000005,1.1613480775199243,-11.156094988060808,0.23531340000000026,0.10429160000000011,0.015337000000000016,-0.005578047494030403,0.10336525853187634
81,82,-0.7358367868854003,0.6265373593006589,2095,4.831999999999994,1.1944152248701196,-22.652317550371876,0.25947839999999966,0.11500159999999984,0.016911999999999976,-0.011326158775185939,0.10704968012011154
82,83,-0.7524658253939491,0.6232732683923983,2096,5.034999999999968,1.2274823722203148,17.390655024393944,0.2703794999999983,0.11983299999999923,0.017622499999999888,0.008695327512196972,0.10871176363658192
83,84,-0.7684530375978897,0.6193642525113594,2097,4.168000000000006,1.26054951957051,-26.60618762514264,0.22382160000000034,0.09919840000000014,0.014588000000000021,-0.013303093812571321,0.10161311137658222
84,85,-0.7837905604994364,0.6148217024698406,2098,4.459000000000003,1.293616666920705,-24.350773552525,0.23944830000000017,0.10612420000000007,0.01560650000000001,-0.0121753867762625,0.10399570400364103
85,86,-0.7984722506740729,0.6096559711777645,2099,5.658000000000016,1.3266838142709003,-13.180446989962991,0.30383460000000084,0.13466040000000037,0.019803000000000057,-0.006590223494981496,0.11381264063540583
86,88,-0.8124936253386208,0.6038763563051042,2090,4.230571428571422,1.044806344735449,-9.572794009895498,0.22718168571428538,0.10068759999999982,0.014806999999999978,-0.004786397004947748,0.09695074519653482
86,88,-0.8124936253386208,0.6038763563051042,2090,4.230571428571422,1.044806344735449,-9.572794009895498,0.22718168571428538,0.10068759999999982,0.014806999999999978,-0.004786397004947748,0.09695074519653482
